date,equity,pos,tsmx
2025-12-01,230032.51184952524,0,44.4091
2025-12-02,230032.51184952524,0,45.6538
2025-12-03,230032.51184952524,0,46.7405
2025-12-04,227094.90070211233,1,45.9603
2025-12-05,229068.38006017622,1,46.3597
2025-12-08,240496.6735185287,1,48.6726
2025-12-09,243020.59253730442,1,49.1834
2025-12-10,254225.54782093354,1,51.4511
2025-12-11,246375.60626821424,1,49.8624
2025-12-12,225848.25863391123,1,45.708
2025-12-15,218583.3445123255,1,44.2377
2025-12-16,217656.88637602862,1,44.0502
2025-12-17,219475.31227051243,0,41.001
2025-12-18,219475.31227051243,0,43.3298
2025-12-19,219475.31227051243,0,44.5436
2025-12-22,219475.31227051243,0,45.7277
2025-12-23,219475.31227051243,0,46.9404
2025-12-24,219475.31227051243,0,47.4962
2025-12-26,223628.4750345001,1,48.6871
2025-12-29,220756.3613649845,1,48.0618
2025-12-30,219252.09584960568,1,47.7343
2025-12-31,225086.80877841695,1,49.0046
2026-01-02,247878.15377783545,1,53.9666
2026-01-05,252117.19696605863,1,54.8895
2026-01-06,259911.81858315118,1,56.5865
2026-01-07,246191.53912975275,1,53.5994
2026-01-08,244824.15029333055,1,53.3017
2026-01-09,253621.46248143743,1,55.217
2026-01-12,266521.40049652546,1,58.0255
2026-01-13,264834.78584844276,1,57.6583
2026-01-14,258453.48483923433,1,56.269
2026-01-15,281928.29459800664,1,61.3798
2026-01-16,282156.1161844579,1,61.4294
2026-01-20,257267.98581780147,1,56.0109
2026-01-21,257177.04091030682,1,55.9911
2026-01-22,257587.211629462,1,56.0804
2026-01-23,268982.88412917126,1,58.5614
2026-01-26,265564.1823792585,1,57.8171
2026-01-27,273951.32384821016,1,59.6431
2026-01-28,280606.37821533176,1,61.092
2026-01-29,275729.3427215022,1,60.0302
2026-01-30,261051.38583312213,1,56.8346
2026-02-02,278373.1754868519,1,60.6058
2026-02-03,269347.58239457913,1,58.6408
2026-02-04,252846.59349687435,1,55.0483
2026-02-05,260458.86598126296,1,56.7056
2026-02-06,288993.51968428347,1,62.918
2026-02-09,299067.2758013178,1,65.1112
2026-02-10,310052.7775818719,1,67.5029
2026-02-11,331431.26129112096,1,72.1573
2026-02-12,320126.53369890637,1,69.6961
2026-02-13,317346.28357231466,1,69.0908
2026-02-17,313426.0068780374,1,68.2373
2026-02-18,309915.90090291534,1,67.4731
2026-02-19,306770.95251091575,1,66.7884
2026-02-20,323864.46126047964,1,70.5099
2026-02-23,323135.06472966395,1,70.3511
2026-02-24,350667.0278616701,1,76.3452
2026-02-25,353037.10726910655,1,76.8612
